Stratum,Longitude,Latitude
88,-114.2935,29.32541
9,-113.9449,29.01457
84,-113.6679,28.96651
175,-113.4897,28.72796
177,-113.9914,28.66056
173,-112.8698,28.40846
171,-113.1826,28.22308
89,-113.3999,28.03661
159,-113.3161,27.52944
SFr,-112.9640,27.36320
160,-112.5296,27.40498
162,-112.4080,27.20280
12,-112.6655,27.18232
161,-112.9860,27.03670
93,-112.0461,26.94589
165,-112.4095,26.24905
169,-111.3783,26.20876
58,-111.3547,26.01550
166,-112.0806,25.91409
64,-111.3264,25.60521
168,-111.2156,25.55757
51,-111.6006,25.34819
Const,-111.6750,25.02470
77,-110.6917,24.87611
164,-111.5441,24.74642
75,-110.7460,24.58843
163,-110.9510,24.21150
ESan,-110.3686,24.45879
153,-110.4624,24.13389
48,-110.2725,24.21441
156,-109.9890,24.04380
157,-110.0960,24.01950
73,-109.8507,24.00789
Aqu,-110.1043,23.28550
Mat,-110.1091,23.08984
98,-109.6487,23.07570
101,-110.5744,27.90509
32,-109.3270,26.63783
102,-109.1263,26.38014
